county,fiscal_year,beneficiaries,race_ethnicity
Modoc,2020/21,1134.0,White
Modoc,2021/22,1144.0,White
Modoc,2022/23,1161.0,White
Mono,2019/20,451.0,White
Mono,2020/21,400.0,White
Mono,2021/22,554.0,White
Mono,2022/23,477.0,White
Monterey,2019/20,11190.0,White
Monterey,2020/21,11266.0,White
Monterey,2021/22,11184.0,White
Monterey,2022/23,11990.0,White
Napa,2019/20,5072.0,White
Napa,2020/21,4800.0,White
Napa,2021/22,5130.0,White
Napa,2022/23,5214.0,White
Nevada,2019/20,9631.0,White
Nevada,2020/21,10447.0,White
Nevada,2021/22,10529.0,White
Nevada,2022/23,12098.0,White
Orange,2019/20,69210.0,White
Orange,2020/21,65983.0,White
Orange,2021/22,67429.0,White
Orange,2022/23,72132.0,White
Placer,2019/20,13566.0,White
Placer,2020/21,13740.0,White
Placer,2021/22,11995.0,White
Placer,2022/23,13313.0,White
Plumas,2019/20,2066.0,White
Plumas,2020/21,1771.0,White
Plumas,2021/22,1891.0,White
Plumas,2022/23,1648.0,White
Riverside,2019/20,77748.0,White
Riverside,2020/21,80139.0,White
Riverside,2021/22,84066.0,White
Riverside,2022/23,94214.0,White
Sacramento,2019/20,53654.0,White
Sacramento,2020/21,51945.0,White
Sacramento,2021/22,49344.0,White
Sacramento,2022/23,51613.0,White
San Benito,2019/20,897.0,White
San Benito,2020/21,988.0,White
San Benito,2021/22,919.0,White
San Benito,2022/23,893.0,White
San Bernardino,2019/20,67492.0,White
San Bernardino,2020/21,65586.0,White
San Bernardino,2021/22,68703.0,White
San Bernardino,2022/23,77102.0,White
San Diego,2019/20,99052.0,White
San Diego,2020/21,94099.0,White
San Diego,2021/22,93838.0,White
San Diego,2022/23,98278.0,White
San Francisco,2019/20,15455.0,White
San Francisco,2020/21,14358.0,White
San Francisco,2021/22,13645.0,White
San Francisco,2022/23,13452.0,White
San Joaquin,2019/20,26354.0,White
San Joaquin,2020/21,26778.0,White
San Joaquin,2021/22,24541.0,White
San Joaquin,2022/23,25737.0,White
San Luis Obispo,2019/20,14510.0,White
San Luis Obispo,2020/21,15199.0,White
San Luis Obispo,2021/22,13485.0,White
San Luis Obispo,2022/23,13390.0,White
San Mateo,2019/20,13103.0,White
San Mateo,2020/21,12305.0,White
San Mateo,2021/22,12182.0,White
San Mateo,2022/23,12461.0,White
Santa Barbara,2019/20,20547.0,White
Santa Barbara,2020/21,22070.0,White
Santa Barbara,2021/22,21028.0,White
Santa Barbara,2022/23,17161.0,White
Santa Clara,2019/20,22893.0,White
Santa Clara,2020/21,23427.0,White
Santa Clara,2021/22,23259.0,White
Santa Clara,2022/23,23890.0,White
Santa Cruz,2019/20,13547.0,White
Santa Cruz,2020/21,12805.0,White
Santa Cruz,2021/22,12582.0,White
Santa Cruz,2022/23,12628.0,White
Shasta,2019/20,25112.0,White
Shasta,2020/21,25084.0,White
Shasta,2021/22,25262.0,White
Shasta,2022/23,27067.0,White
Sierra,2019/20,0.0,White
Sierra,2020/21,0.0,White
Sierra,2021/22,0.0,White
Sierra,2022/23,0.0,White
Siskiyou,2019/20,6038.0,White
Siskiyou,2020/21,6001.0,White
Siskiyou,2021/22,6087.0,White
Siskiyou,2022/23,5597.0,White
Small-Rural Counties,2019/20,30759.0,White
Small-Rural Counties,2020/21,31438.0,White
Small-Rural Counties,2021/22,31157.0,White
Small-Rural Counties,2022/23,31101.0,White
Solano,2019/20,11624.0,White
Solano,2020/21,11931.0,White
Solano,2021/22,11901.0,White
Solano,2022/23,11787.0,White
Sonoma,2019/20,20350.0,White
Sonoma,2020/21,18377.0,White
Sonoma,2021/22,18926.0,White
Sonoma,2022/23,19596.0,White
Stanislaus,2019/20,26238.0,White
Stanislaus,2020/21,25004.0,White
Stanislaus,2021/22,23132.0,White
Stanislaus,2022/23,24448.0,White
Sutter,2019/20,5136.0,White
Sutter,2020/21,5172.0,White
Sutter,2021/22,5061.0,White
Sutter,2022/23,5392.0,White
Tehama,2019/20,6460.0,White
Tehama,2020/21,6161.0,White
Tehama,2021/22,5687.0,White
Tehama,2022/23,5853.0,White
Trinity,2019/20,1157.0,White
Trinity,2020/21,1285.0,White
Trinity,2021/22,1286.0,White
Trinity,2022/23,1478.0,White
Tulare,2019/20,15127.0,White
Tulare,2020/21,14265.0,White
Tulare,2021/22,14063.0,White
Tulare,2022/23,14975.0,White
Tuolumne,2019/20,5302.0,White
Tuolumne,2020/21,5150.0,White
Tuolumne,2021/22,5223.0,White
Tuolumne,2022/23,5184.0,White
Ventura,2019/20,21958.0,White
Ventura,2020/21,22280.0,White
Ventura,2021/22,22140.0,White
Ventura,2022/23,22914.0,White
Yolo,2019/20,7046.0,White
Yolo,2020/21,6727.0,White
Yolo,2021/22,6523.0,White
Yolo,2022/23,6520.0,White
Yuba,2019/20,6171.0,White
Yuba,2020/21,5819.0,White
Yuba,2021/22,6140.0,White
Yuba,2022/23,6477.0,White
Alameda,2019/20,24861.0,Other
Alameda,2020/21,29517.0,Other
Alameda,2021/22,32668.0,Other
Alameda,2022/23,9314.0,Other
Alpine,2019/20,0.0,Other
Alpine,2021/22,0.0,Other
Amador,2019/20,0.0,Other
Amador,2020/21,0.0,Other
Amador,2021/22,14.0,Other
Amador,2022/23,0.0,Other
Butte,2019/20,384.0,Other
Butte,2020/21,476.0,Other
Butte,2021/22,498.0,Other
Butte,2022/23,397.0,Other
Calaveras,2019/20,12.0,Other
Calaveras,2020/21,51.0,Other
Calaveras,2021/22,30.0,Other
Calaveras,2022/23,0.0,Other
Colusa,2019/20,0.0,Other
Colusa,2020/21,0.0,Other
Colusa,2021/22,0.0,Other
Colusa,2022/23,0.0,Other
Contra Costa,2019/20,15219.0,Other
Contra Costa,2020/21,18098.0,Other
Contra Costa,2021/22,15339.0,Other
Contra Costa,2022/23,3936.0,Other
Del Norte,2019/20,12.0,Other
Del Norte,2020/21,30.0,Other
Del Norte,2021/22,16.0,Other
Del Norte,2022/23,0.0,Other
El Dorado,2019/20,224.0,Other
El Dorado,2020/21,250.0,Other
El Dorado,2021/22,294.0,Other
El Dorado,2022/23,173.0,Other
Fresno,2019/20,16341.0,Other
Fresno,2020/21,21143.0,Other
Fresno,2021/22,23570.0,Other
Fresno,2022/23,3673.0,Other
Glenn,2019/20,0.0,Other
Glenn,2020/21,0.0,Other
Glenn,2021/22,11.0,Other
Glenn,2022/23,12.0,Other
Humboldt,2019/20,354.0,Other
Humboldt,2020/21,475.0,Other
Humboldt,2021/22,444.0,Other
Humboldt,2022/23,396.0,Other
Imperial,2019/20,144.0,Other
Imperial,2020/21,214.0,Other
Imperial,2021/22,145.0,Other
Imperial,2022/23,86.0,Other
Inyo,2019/20,0.0,Other
Inyo,2020/21,0.0,Other
Inyo,2021/22,0.0,Other
Inyo,2022/23,0.0,Other
Kern,2019/20,1019.0,Other
Kern,2020/21,1315.0,Other
Kern,2021/22,1233.0,Other
Kern,2022/23,1176.0,Other
Kings,2019/20,189.0,Other
Kings,2020/21,251.0,Other
Kings,2021/22,204.0,Other
Kings,2022/23,127.0,Other
Lake,2019/20,83.0,Other
Lake,2020/21,105.0,Other
Lake,2021/22,99.0,Other
Lake,2022/23,107.0,Other
Lassen,2019/20,0.0,Other
Lassen,2020/21,0.0,Other
Lassen,2021/22,0.0,Other
Lassen,2022/23,0.0,Other
Los Angeles,2019/20,19655.0,Other
Los Angeles,2020/21,20811.0,Other
Los Angeles,2021/22,22363.0,Other
Los Angeles,2022/23,24382.0,Other
Madera,2019/20,176.0,Other
Madera,2020/21,320.0,Other
Madera,2021/22,233.0,Other
Madera,2022/23,177.0,Other
Marin,2019/20,461.0,Other
Marin,2020/21,586.0,Other
Marin,2021/22,592.0,Other
Marin,2022/23,504.0,Other
Mariposa,2019/20,0.0,Other
Mariposa,2020/21,0.0,Other
Mariposa,2021/22,0.0,Other
Mariposa,2022/23,0.0,Other
Mendocino,2019/20,198.0,Other
Mendocino,2020/21,252.0,Other
Mendocino,2021/22,351.0,Other
Mendocino,2022/23,242.0,Other
Merced,2019/20,371.0,Other
Merced,2020/21,584.0,Other
Merced,2021/22,728.0,Other
Merced,2022/23,439.0,Other
Modoc,2019/20,0.0,Other
Modoc,2020/21,0.0,Other
Modoc,2021/22,0.0,Other
Modoc,2022/23,0.0,Other
Mono,2019/20,0.0,Other
Mono,2020/21,0.0,Other
Mono,2021/22,0.0,Other
Mono,2022/23,0.0,Other
Monterey,2019/20,631.0,Other
Monterey,2020/21,644.0,Other
Monterey,2021/22,637.0,Other
Monterey,2022/23,531.0,Other
Napa,2019/20,168.0,Other
Napa,2020/21,170.0,Other
Napa,2021/22,179.0,Other
Napa,2022/23,103.0,Other
Nevada,2019/20,151.0,Other
Nevada,2020/21,166.0,Other
Nevada,2021/22,174.0,Other
Nevada,2022/23,175.0,Other
Orange,2019/20,30349.0,Other
Orange,2020/21,30725.0,Other
Orange,2021/22,30718.0,Other
Orange,2022/23,15414.0,Other
Placer,2019/20,1580.0,Other
Placer,2020/21,2076.0,Other
Placer,2021/22,1055.0,Other
Placer,2022/23,798.0,Other
Plumas,2019/20,0.0,Other
Plumas,2020/21,0.0,Other
Plumas,2021/22,0.0,Other
Plumas,2022/23,0.0,Other
Riverside,2019/20,3532.0,Other
Riverside,2020/21,3852.0,Other
Riverside,2021/22,4344.0,Other
Riverside,2022/23,4570.0,Other
Sacramento,2019/20,36111.0,Other
Sacramento,2020/21,43521.0,Other
Sacramento,2021/22,45269.0,Other
Sacramento,2022/23,14465.0,Other
San Benito,2019/20,16.0,Other
San Benito,2020/21,15.0,Other
San Benito,2021/22,30.0,Other
San Benito,2022/23,0.0,Other
San Bernardino,2019/20,2419.0,Other
San Bernardino,2020/21,2620.0,Other
San Bernardino,2021/22,2795.0,Other
San Bernardino,2022/23,3486.0,Other
San Diego,2019/20,92898.0,Other
San Diego,2020/21,106611.0,Other
San Diego,2021/22,122820.0,Other
San Diego,2022/23,22189.0,Other
San Francisco,2019/20,19980.0,Other
San Francisco,2020/21,23800.0,Other
San Francisco,2021/22,25070.0,Other
San Francisco,2022/23,4948.0,Other
San Joaquin,2019/20,2012.0,Other
San Joaquin,2020/21,2123.0,Other
San Joaquin,2021/22,2242.0,Other
San Joaquin,2022/23,2494.0,Other
San Luis Obispo,2019/20,6355.0,Other
San Luis Obispo,2020/21,8093.0,Other
San Luis Obispo,2021/22,9465.0,Other
San Luis Obispo,2022/23,1084.0,Other
San Mateo,2019/20,7140.0,Other
San Mateo,2020/21,7520.0,Other
San Mateo,2021/22,8422.0,Other
San Mateo,2022/23,2660.0,Other
Santa Barbara,2019/20,6423.0,Other
Santa Barbara,2020/21,8496.0,Other
Santa Barbara,2021/22,8018.0,Other
Santa Barbara,2022/23,1339.0,Other
Santa Clara,2019/20,13021.0,Other
Santa Clara,2020/21,16479.0,Other
Santa Clara,2021/22,14528.0,Other
Santa Clara,2022/23,7443.0,Other
Santa Cruz,2019/20,6619.0,Other
Santa Cruz,2020/21,7674.0,Other
Santa Cruz,2021/22,8683.0,Other
Santa Cruz,2022/23,1299.0,Other
Shasta,2019/20,269.0,Other
Shasta,2020/21,285.0,Other
Shasta,2021/22,297.0,Other
Shasta,2022/23,423.0,Other
Sierra,2019/20,0.0,Other
Siskiyou,2019/20,54.0,Other
Siskiyou,2020/21,35.0,Other
Siskiyou,2021/22,53.0,Other
Siskiyou,2022/23,52.0,Other
Small-Rural Counties,2019/20,360.0,Other
Small-Rural Counties,2020/21,478.0,Other
Small-Rural Counties,2021/22,482.0,Other
Small-Rural Counties,2022/23,351.0,Other
Solano,2019/20,6485.0,Other
Solano,2020/21,7140.0,Other
Solano,2021/22,6733.0,Other
Solano,2022/23,1267.0,Other
Sonoma,2019/20,11632.0,Other
Sonoma,2020/21,13120.0,Other
Sonoma,2021/22,14096.0,Other
Sonoma,2022/23,5418.0,Other
Stanislaus,2019/20,950.0,Other
Stanislaus,2020/21,1071.0,Other
Stanislaus,2021/22,1084.0,Other
Stanislaus,2022/23,1107.0,Other
Sutter,2019/20,63.0,Other
Sutter,2020/21,91.0,Other
Sutter,2021/22,89.0,Other
Sutter,2022/23,70.0,Other
Tehama,2019/20,15.0,Other
Tehama,2020/21,51.0,Other
Tehama,2021/22,31.0,Other
Tehama,2022/23,13.0,Other
Trinity,2019/20,0.0,Other
Trinity,2020/21,0.0,Other
Trinity,2021/22,0.0,Other
Trinity,2022/23,0.0,Other
Tulare,2019/20,6922.0,Other
Tulare,2020/21,9409.0,Other
Tulare,2021/22,6853.0,Other
Tulare,2022/23,1229.0,Other
Tuolumne,2019/20,32.0,Other
Tuolumne,2020/21,15.0,Other
Tuolumne,2021/22,0.0,Other
Tuolumne,2022/23,31.0,Other
Ventura,2019/20,11516.0,Other
Ventura,2020/21,15556.0,Other
Ventura,2021/22,15142.0,Other
Ventura,2022/23,2193.0,Other
Yolo,2019/20,2673.0,Other
Yolo,2020/21,3111.0,Other
Yolo,2021/22,1031.0,Other
Yolo,2022/23,765.0,Other
Yuba,2019/20,121.0,Other
Yuba,2020/21,143.0,Other
Yuba,2021/22,170.0,Other
Yuba,2022/23,117.0,Other
Alameda,2019/20,6111.0,Unknown
Alameda,2020/21,5420.0,Unknown
Alameda,2021/22,5433.0,Unknown
Alameda,2022/23,24809.0,Unknown
Alpine,2019/20,0.0,Unknown
Alpine,2020/21,0.0,Unknown
Alpine,2021/22,0.0,Unknown
Alpine,2022/23,0.0,Unknown
Amador,2019/20,136.0,Unknown
Amador,2020/21,157.0,Unknown
Amador,2021/22,150.0,Unknown
Amador,2022/23,316.0,Unknown
Butte,2019/20,2634.0,Unknown
Butte,2020/21,2432.0,Unknown
Butte,2021/22,2325.0,Unknown
Butte,2022/23,2394.0,Unknown
Calaveras,2019/20,165.0,Unknown
Calaveras,2020/21,167.0,Unknown
Calaveras,2021/22,67.0,Unknown
Calaveras,2022/23,249.0,Unknown
Colusa,2019/20,75.0,Unknown
Colusa,2020/21,118.0,Unknown
Colusa,2021/22,130.0,Unknown
Colusa,2022/23,139.0,Unknown
Contra Costa,2019/20,3410.0,Unknown
Contra Costa,2020/21,3003.0,Unknown
Contra Costa,2021/22,7146.0,Unknown
Contra Costa,2022/23,15334.0,Unknown
Del Norte,2019/20,331.0,Unknown
Del Norte,2020/21,242.0,Unknown
Del Norte,2021/22,261.0,Unknown
Del Norte,2022/23,181.0,Unknown
El Dorado,2019/20,1328.0,Unknown
El Dorado,2020/21,1302.0,Unknown
El Dorado,2021/22,1398.0,Unknown
El Dorado,2022/23,1580.0,Unknown
Fresno,2019/20,9843.0,Unknown
Fresno,2020/21,11366.0,Unknown
Fresno,2021/22,11865.0,Unknown
Fresno,2022/23,25827.0,Unknown
Glenn,2019/20,100.0,Unknown
Glenn,2020/21,99.0,Unknown
Glenn,2021/22,72.0,Unknown
Glenn,2022/23,140.0,Unknown
Humboldt,2019/20,2556.0,Unknown
Humboldt,2020/21,2805.0,Unknown
Humboldt,2021/22,3112.0,Unknown
Humboldt,2022/23,3088.0,Unknown
Imperial,2019/20,1009.0,Unknown
Imperial,2020/21,1002.0,Unknown
Imperial,2021/22,564.0,Unknown
Imperial,2022/23,667.0,Unknown
Inyo,2019/20,0.0,Unknown
Inyo,2020/21,0.0,Unknown
Inyo,2021/22,0.0,Unknown
Inyo,2022/23,22.0,Unknown
Kern,2019/20,5871.0,Unknown
Kern,2020/21,7010.0,Unknown
Kern,2021/22,6364.0,Unknown
Kern,2022/23,7266.0,Unknown
Kings,2019/20,708.0,Unknown
Kings,2020/21,405.0,Unknown
Kings,2021/22,854.0,Unknown
Kings,2022/23,744.0,Unknown
Lake,2019/20,512.0,Unknown
Lake,2020/21,492.0,Unknown
Lake,2021/22,508.0,Unknown
Lake,2022/23,498.0,Unknown
Lassen,2019/20,112.0,Unknown
Lassen,2020/21,101.0,Unknown
Lassen,2021/22,120.0,Unknown
Lassen,2022/23,131.0,Unknown
Los Angeles,2019/20,68850.0,Unknown
Los Angeles,2020/21,62852.0,Unknown
Los Angeles,2021/22,60668.0,Unknown
Los Angeles,2022/23,65459.0,Unknown
Madera,2019/20,1126.0,Unknown
Madera,2020/21,1713.0,Unknown
Madera,2021/22,1331.0,Unknown
Madera,2022/23,1449.0,Unknown
Marin,2019/20,446.0,Unknown
Marin,2020/21,492.0,Unknown
Marin,2021/22,717.0,Unknown
Marin,2022/23,663.0,Unknown
Mariposa,2019/20,63.0,Unknown
Mariposa,2020/21,75.0,Unknown
Mariposa,2021/22,20.0,Unknown
Mariposa,2022/23,60.0,Unknown
Mendocino,2019/20,1230.0,Unknown
Mendocino,2020/21,1085.0,Unknown
Mendocino,2021/22,1107.0,Unknown
Mendocino,2022/23,1204.0,Unknown
Merced,2019/20,646.0,Unknown
Merced,2020/21,737.0,Unknown
Merced,2021/22,640.0,Unknown
Merced,2022/23,714.0,Unknown
Modoc,2019/20,40.0,Unknown
Modoc,2020/21,20.0,Unknown
Modoc,2021/22,107.0,Unknown
Modoc,2022/23,116.0,Unknown
Mono,2019/20,30.0,Unknown
Mono,2020/21,0.0,Unknown
Mono,2021/22,33.0,Unknown
Mono,2022/23,32.0,Unknown
Monterey,2019/20,2493.0,Unknown
Monterey,2020/21,2970.0,Unknown
Monterey,2021/22,2624.0,Unknown
Monterey,2022/23,2936.0,Unknown
Napa,2019/20,180.0,Unknown
Napa,2020/21,121.0,Unknown
Napa,2021/22,119.0,Unknown
Napa,2022/23,252.0,Unknown
Nevada,2019/20,788.0,Unknown
Nevada,2020/21,909.0,Unknown
Nevada,2021/22,1091.0,Unknown
Nevada,2022/23,1202.0,Unknown
Orange,2019/20,19895.0,Unknown
Orange,2020/21,23059.0,Unknown
Orange,2021/22,32988.0,Unknown
Orange,2022/23,48907.0,Unknown
Placer,2019/20,2220.0,Unknown
Placer,2020/21,2659.0,Unknown
Placer,2021/22,4431.0,Unknown
Placer,2022/23,4658.0,Unknown
Plumas,2019/20,75.0,Unknown
Plumas,2020/21,97.0,Unknown
Plumas,2021/22,112.0,Unknown
Plumas,2022/23,76.0,Unknown
Riverside,2019/20,19134.0,Unknown
Riverside,2020/21,20388.0,Unknown
Riverside,2021/22,22471.0,Unknown
Riverside,2022/23,27411.0,Unknown
Sacramento,2019/20,9829.0,Unknown
Sacramento,2020/21,10584.0,Unknown
Sacramento,2021/22,11589.0,Unknown
Sacramento,2022/23,37539.0,Unknown
San Benito,2019/20,137.0,Unknown
San Benito,2020/21,170.0,Unknown
San Benito,2021/22,154.0,Unknown
San Benito,2022/23,201.0,Unknown
San Bernardino,2019/20,15318.0,Unknown
San Bernardino,2020/21,14785.0,Unknown
San Bernardino,2021/22,15549.0,Unknown
San Bernardino,2022/23,17435.0,Unknown
San Diego,2019/20,21440.0,Unknown
San Diego,2020/21,18509.0,Unknown
San Diego,2021/22,18259.0,Unknown
San Diego,2022/23,108386.0,Unknown
San Francisco,2019/20,3386.0,Unknown
San Francisco,2020/21,3119.0,Unknown
San Francisco,2021/22,2987.0,Unknown
San Francisco,2022/23,21822.0,Unknown
San Joaquin,2019/20,8079.0,Unknown
San Joaquin,2020/21,8533.0,Unknown
San Joaquin,2021/22,8486.0,Unknown
San Joaquin,2022/23,9215.0,Unknown
San Luis Obispo,2019/20,1807.0,Unknown
San Luis Obispo,2020/21,2465.0,Unknown
San Luis Obispo,2021/22,1859.0,Unknown
San Luis Obispo,2022/23,9003.0,Unknown
San Mateo,2019/20,3410.0,Unknown
San Mateo,2020/21,3973.0,Unknown
San Mateo,2021/22,2545.0,Unknown
San Mateo,2022/23,7649.0,Unknown
Santa Barbara,2019/20,2649.0,Unknown
Santa Barbara,2020/21,2938.0,Unknown
Santa Barbara,2021/22,4962.0,Unknown
Santa Barbara,2022/23,8561.0,Unknown
Santa Clara,2019/20,6898.0,Unknown
Santa Clara,2020/21,6860.0,Unknown
Santa Clara,2021/22,10004.0,Unknown
Santa Clara,2022/23,15665.0,Unknown
Santa Cruz,2019/20,2479.0,Unknown
Santa Cruz,2020/21,2245.0,Unknown
Santa Cruz,2021/22,2535.0,Unknown
Santa Cruz,2022/23,8733.0,Unknown
Shasta,2019/20,2348.0,Unknown
Shasta,2020/21,2319.0,Unknown
Shasta,2021/22,2071.0,Unknown
Shasta,2022/23,2537.0,Unknown
Sierra,2019/20,0.0,Unknown
Sierra,2020/21,0.0,Unknown
Sierra,2021/22,0.0,Unknown
Sierra,2022/23,0.0,Unknown
Siskiyou,2019/20,645.0,Unknown
Siskiyou,2020/21,597.0,Unknown
Siskiyou,2021/22,503.0,Unknown
Siskiyou,2022/23,532.0,Unknown
Small-Rural Counties,2019/20,3076.0,Unknown
Small-Rural Counties,2020/21,2980.0,Unknown
Small-Rural Counties,2021/22,2770.0,Unknown
Small-Rural Counties,2022/23,3047.0,Unknown
Solano,2019/20,2118.0,Unknown
Solano,2020/21,2112.0,Unknown
Solano,2021/22,2087.0,Unknown
Solano,2022/23,5166.0,Unknown
Sonoma,2019/20,2426.0,Unknown
Sonoma,2020/21,2105.0,Unknown
Sonoma,2021/22,2794.0,Unknown
Sonoma,2022/23,9385.0,Unknown
Stanislaus,2019/20,5168.0,Unknown
Stanislaus,2020/21,5754.0,Unknown
Stanislaus,2021/22,5226.0,Unknown
Stanislaus,2022/23,5694.0,Unknown
Sutter,2019/20,443.0,Unknown
Sutter,2020/21,303.0,Unknown
Sutter,2021/22,287.0,Unknown
Sutter,2022/23,479.0,Unknown
Tehama,2019/20,527.0,Unknown
Tehama,2020/21,366.0,Unknown
Tehama,2021/22,411.0,Unknown
Tehama,2022/23,393.0,Unknown
Trinity,2019/20,86.0,Unknown
Trinity,2020/21,90.0,Unknown
Trinity,2021/22,111.0,Unknown
Trinity,2022/23,73.0,Unknown
Tulare,2019/20,2209.0,Unknown
Tulare,2020/21,2001.0,Unknown
Tulare,2021/22,5329.0,Unknown
Tulare,2022/23,9566.0,Unknown
Tuolumne,2019/20,242.0,Unknown
Tuolumne,2020/21,212.0,Unknown
Tuolumne,2021/22,344.0,Unknown
Tuolumne,2022/23,276.0,Unknown
Ventura,2019/20,5049.0,Unknown
Ventura,2020/21,5744.0,Unknown
Ventura,2021/22,7138.0,Unknown
Ventura,2022/23,16672.0,Unknown
Yolo,2019/20,1595.0,Unknown
Yolo,2020/21,1484.0,Unknown
Yolo,2021/22,2745.0,Unknown
Yolo,2022/23,2965.0,Unknown
Yuba,2019/20,469.0,Unknown
Yuba,2020/21,597.0,Unknown
Yuba,2021/22,683.0,Unknown
Yuba,2022/23,694.0,Unknown
